sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Home Page,69,780,748,1337,155,1490,0.0,2.221435240333537,0.24730822011525708
Search Page,65,591,621,864,174,912,0.0,2.2176731490958717,0.24688939355168885
Simple Form 2,61,4400,4219,7528,445,9079,0.0,1.6220815827261608,0.18058330120193586
Simple Form 1,51,1294,1175,2055,513,2194,0.0392156862745098,1.8965453125581049,0.2111388336246328
TOTAL,246,1734,896,5288,155,9079,0.008130081300813009,6.118337602904967,0.6811430534484045
