Percentiles,Home Page,Search Page,Simple Form 1,Simple Form 2
13.6,335.0,290.0,698.0,1495.0
13.7,335.0,290.0,698.0,1495.0
13.8,335.0,290.0,713.0,1495.0
13.9,335.0,298.0,713.0,1495.0
14.0,335.0,298.0,713.0,1495.0
14.1,335.0,298.0,713.0,1495.0
14.2,335.0,298.0,713.0,1495.0
14.3,335.0,298.0,713.0,1495.0
14.4,335.0,298.0,713.0,1495.0
14.5,336.0,298.0,713.0,1495.0
14.6,336.0,298.0,713.0,1495.0
14.7,336.0,298.0,713.0,1495.0
14.8,336.0,298.0,713.0,1516.0
14.9,336.0,298.0,713.0,1516.0
15.0,336.0,298.0,713.0,1516.0
15.1,336.0,298.0,713.0,1516.0
15.2,336.0,298.0,713.0,1516.0
15.3,336.0,298.0,713.0,1516.0
15.4,336.0,308.0,713.0,1516.0
15.5,336.0,308.0,713.0,1516.0
15.6,336.0,308.0,713.0,1516.0
15.7,336.0,308.0,733.0,1516.0
15.8,336.0,308.0,733.0,1516.0
15.9,336.0,308.0,733.0,1516.0
16.0,347.0,308.0,733.0,1516.0
16.1,347.0,308.0,733.0,1516.0
16.2,347.0,308.0,733.0,1516.0
16.3,347.0,308.0,733.0,1516.0
16.4,347.0,308.0,733.0,1763.0
16.5,347.0,308.0,733.0,1763.0
16.6,347.0,308.0,733.0,1763.0
16.7,347.0,308.0,733.0,1763.0
16.8,347.0,308.0,733.0,1763.0
16.9,347.0,308.0,733.0,1763.0
17.0,347.0,309.0,733.0,1763.0
17.1,347.0,309.0,733.0,1763.0
17.2,347.0,309.0,733.0,1763.0
17.3,347.0,309.0,733.0,1763.0
17.4,354.0,309.0,733.0,1763.0
17.5,354.0,309.0,733.0,1763.0
17.6,354.0,309.0,733.0,1763.0
17.7,354.0,309.0,734.0,1763.0
17.8,354.0,309.0,734.0,1763.0
17.9,354.0,309.0,734.0,1763.0
18.0,354.0,309.0,734.0,1763.0
18.1,354.0,309.0,734.0,1778.0
18.2,354.0,309.0,734.0,1778.0
18.3,354.0,309.0,734.0,1778.0
18.4,354.0,309.0,734.0,1778.0
18.5,354.0,336.0,734.0,1778.0
18.6,354.0,336.0,734.0,1778.0
18.7,354.0,336.0,734.0,1778.0
18.8,354.0,336.0,734.0,1778.0
18.9,362.0,336.0,734.0,1778.0
19.0,362.0,336.0,734.0,1778.0
19.1,362.0,336.0,734.0,1778.0
19.2,362.0,336.0,734.0,1778.0
19.3,362.0,336.0,734.0,1778.0
19.4,362.0,336.0,734.0,1778.0
19.5,362.0,336.0,734.0,1778.0
19.6,362.0,336.0,734.0,1778.0
19.7,362.0,336.0,748.0,1796.0
19.8,362.0,336.0,748.0,1796.0
19.9,362.0,336.0,748.0,1796.0
20.0,362.0,336.0,748.0,1796.0
20.1,362.0,340.0,748.0,1796.0
20.2,362.0,340.0,748.0,1796.0
20.3,388.0,340.0,748.0,1796.0
20.4,388.0,340.0,748.0,1796.0
20.5,388.0,340.0,748.0,1796.0
20.6,388.0,340.0,748.0,1796.0
20.7,388.0,340.0,748.0,1796.0
20.8,388.0,340.0,748.0,1796.0
20.9,388.0,340.0,748.0,1796.0
21.0,388.0,340.0,748.0,1796.0
21.1,388.0,340.0,748.0,1796.0
21.2,388.0,340.0,748.0,1796.0
21.3,388.0,340.0,748.0,1796.0
21.4,388.0,340.0,748.0,1801.0
21.5,388.0,340.0,748.0,1801.0
21.6,388.0,342.0,786.0,1801.0
21.7,388.0,342.0,786.0,1801.0
21.8,394.0,342.0,786.0,1801.0
21.9,394.0,342.0,786.0,1801.0
22.0,394.0,342.0,786.0,1801.0
22.1,394.0,342.0,786.0,1801.0
22.2,394.0,342.0,786.0,1801.0
22.3,394.0,342.0,786.0,1801.0
22.4,394.0,342.0,786.0,1801.0
22.5,394.0,342.0,786.0,1801.0
22.6,394.0,342.0,786.0,1801.0
22.7,394.0,342.0,786.0,1801.0
22.8,394.0,342.0,786.0,1801.0
22.9,394.0,342.0,786.0,1801.0
23.0,394.0,342.0,786.0,1860.0
23.1,394.0,359.0,786.0,1860.0
23.2,407.0,359.0,786.0,1860.0
23.3,407.0,359.0,786.0,1860.0
23.4,407.0,359.0,786.0,1860.0
23.5,407.0,359.0,786.0,1860.0
23.6,407.0,359.0,849.0,1860.0
23.7,407.0,359.0,849.0,1860.0
23.8,407.0,359.0,849.0,1860.0
23.9,407.0,359.0,849.0,1860.0
24.0,407.0,359.0,849.0,1860.0
24.1,407.0,359.0,849.0,1860.0
24.2,407.0,359.0,849.0,1860.0
24.3,407.0,359.0,849.0,1860.0
24.4,407.0,359.0,849.0,1860.0
24.5,407.0,359.0,849.0,1860.0
24.6,407.0,359.0,849.0,2104.0
24.7,409.0,369.0,849.0,2104.0
24.8,409.0,369.0,849.0,2104.0
24.9,409.0,369.0,849.0,2104.0
25.0,409.0,369.0,849.0,2104.0
25.1,409.0,369.0,849.0,2104.0
25.2,409.0,369.0,849.0,2104.0
25.3,409.0,369.0,849.0,2104.0
25.4,409.0,369.0,849.0,2104.0
25.5,409.0,369.0,851.0,2104.0
25.6,409.0,369.0,851.0,2104.0
25.7,409.0,369.0,851.0,2104.0
25.8,409.0,369.0,851.0,2104.0
25.9,409.0,369.0,851.0,2104.0
26.0,409.0,369.0,851.0,2104.0
26.1,425.0,369.0,851.0,2104.0
26.2,425.0,389.0,851.0,2104.0
26.3,425.0,389.0,851.0,2419.0
26.4,425.0,389.0,851.0,2419.0
26.5,425.0,389.0,851.0,2419.0
26.6,425.0,389.0,851.0,2419.0
26.7,425.0,389.0,851.0,2419.0
