sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Home Page,30,836,783,1255,279,1483,0.0,1.1292204614747618,0.12571399668761998,326.27106828525274
Search Page,27,542,563,809,152,891,0.0,1.0411846367422488,0.11591313338732069,224.87335255951967
Simple Form 2,27,5377,6311,7867,967,9006,0.0,0.8718958891723447,0.09706653453676495,2507.4230143395253
Simple Form 1,22,1380,1416,2081,592,2191,0.045454545454545456,1.096436581111388,0.12206422875654123,521.8019893749951
TOTAL,106,2031,967,6361,152,9006,0.009433962264150943,2.7717490782626886,0.3085736278534634,2368.6162843019956
