sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Home Page,65,755,749,1228,153,1490,0.0,2.293982706899594,0.25538479354155635
Search Page,63,576,548,890,174,919,0.0,2.2922427594236643,0.25519108845146266
Simple Form 2,62,4689,4692,8292,339,9157,0.0,1.6117711284997531,0.17943545766501157
Simple Form 1,54,1297,1297,1917,522,2141,0.07407407407407407,2.015301362194439,0.2243597219630528
TOTAL,244,1828,904,5825,153,9157,0.01639344262295082,5.8369016577757575,0.6498113173695668
