sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Home Page,63,824,893,1426,146,1493,0.0,2.2840155168038283,0.25427516495667624,430.15265678369354
Search Page,61,523,489,822,153,920,0.0,2.3187744706732047,0.2581448141179154,211.94281426145434
Simple Form 2,60,4890,4427,7989,255,9164,0.0,1.5728216420257943,0.17509928436615285,2602.365501434331
Simple Form 1,48,1376,1326,1988,570,2115,0.0625,1.773704825955214,0.1974632325770453,447.8575833125476
TOTAL,232,1911,990,6676,146,9164,0.01293103448275862,5.49958516060211,0.6122585042076567,2244.3937132315514
