sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Home Page,61,796,801,1361,141,1500,0.0,1.5666332794000564,0.17441034555820942
Search Page,57,525,492,806,192,889,0.0,1.4741633476439249,0.16411584143692134
Simple Form 2,55,5265,5097,8768,723,9200,0.0,1.0888070633883675,0.1212148488537831
Simple Form 1,48,1387,1321,1970,540,2200,0.0625,1.2024048096192383,0.1338614729458918
TOTAL,221,1967,978,5657,141,9200,0.013574660633484163,4.092895770057042,0.4556544119008815
